dataid,image,label
40,TrainingBatch2/volume-40.nii,TrainingBatch2/segmentation-40.nii
41,TrainingBatch2/volume-41.nii,TrainingBatch2/segmentation-41.nii
42,TrainingBatch2/volume-42.nii,TrainingBatch2/segmentation-42.nii
43,TrainingBatch2/volume-43.nii,TrainingBatch2/segmentation-43.nii
44,TrainingBatch2/volume-44.nii,TrainingBatch2/segmentation-44.nii
45,TrainingBatch2/volume-45.nii,TrainingBatch2/segmentation-45.nii
46,TrainingBatch2/volume-46.nii,TrainingBatch2/segmentation-46.nii
47,TrainingBatch2/volume-47.nii,TrainingBatch2/segmentation-47.nii
48,TrainingBatch2/volume-48.nii,TrainingBatch2/segmentation-48.nii
49,TrainingBatch2/volume-49.nii,TrainingBatch2/segmentation-49.nii
50,TrainingBatch2/volume-50.nii,TrainingBatch2/segmentation-50.nii
51,TrainingBatch2/volume-51.nii,TrainingBatch2/segmentation-51.nii
52,TrainingBatch2/volume-52.nii,TrainingBatch2/segmentation-52.nii
53,TrainingBatch2/volume-53.nii,TrainingBatch2/segmentation-53.nii
54,TrainingBatch2/volume-54.nii,TrainingBatch2/segmentation-54.nii
55,TrainingBatch2/volume-55.nii,TrainingBatch2/segmentation-55.nii
56,TrainingBatch2/volume-56.nii,TrainingBatch2/segmentation-56.nii
57,TrainingBatch2/volume-57.nii,TrainingBatch2/segmentation-57.nii
58,TrainingBatch2/volume-58.nii,TrainingBatch2/segmentation-58.nii
59,TrainingBatch2/volume-59.nii,TrainingBatch2/segmentation-59.nii
60,TrainingBatch2/volume-60.nii,TrainingBatch2/segmentation-60.nii
61,TrainingBatch2/volume-61.nii,TrainingBatch2/segmentation-61.nii
62,TrainingBatch2/volume-62.nii,TrainingBatch2/segmentation-62.nii
63,TrainingBatch2/volume-63.nii,TrainingBatch2/segmentation-63.nii
64,TrainingBatch2/volume-64.nii,TrainingBatch2/segmentation-64.nii
65,TrainingBatch2/volume-65.nii,TrainingBatch2/segmentation-65.nii
66,TrainingBatch2/volume-66.nii,TrainingBatch2/segmentation-66.nii
67,TrainingBatch2/volume-67.nii,TrainingBatch2/segmentation-67.nii
68,TrainingBatch2/volume-68.nii,TrainingBatch2/segmentation-68.nii
69,TrainingBatch2/volume-69.nii,TrainingBatch2/segmentation-69.nii
70,TrainingBatch2/volume-70.nii,TrainingBatch2/segmentation-70.nii
71,TrainingBatch2/volume-71.nii,TrainingBatch2/segmentation-71.nii
72,TrainingBatch2/volume-72.nii,TrainingBatch2/segmentation-72.nii
73,TrainingBatch2/volume-73.nii,TrainingBatch2/segmentation-73.nii
74,TrainingBatch2/volume-74.nii,TrainingBatch2/segmentation-74.nii
75,TrainingBatch2/volume-75.nii,TrainingBatch2/segmentation-75.nii
76,TrainingBatch2/volume-76.nii,TrainingBatch2/segmentation-76.nii
77,TrainingBatch2/volume-77.nii,TrainingBatch2/segmentation-77.nii
78,TrainingBatch2/volume-78.nii,TrainingBatch2/segmentation-78.nii
79,TrainingBatch2/volume-79.nii,TrainingBatch2/segmentation-79.nii
80,TrainingBatch2/volume-80.nii,TrainingBatch2/segmentation-80.nii
81,TrainingBatch2/volume-81.nii,TrainingBatch2/segmentation-81.nii
82,TrainingBatch2/volume-82.nii,TrainingBatch2/segmentation-82.nii
83,TrainingBatch2/volume-83.nii,TrainingBatch2/segmentation-83.nii
84,TrainingBatch2/volume-84.nii,TrainingBatch2/segmentation-84.nii
85,TrainingBatch2/volume-85.nii,TrainingBatch2/segmentation-85.nii
86,TrainingBatch2/volume-86.nii,TrainingBatch2/segmentation-86.nii
87,TrainingBatch2/volume-87.nii,TrainingBatch2/segmentation-87.nii
88,TrainingBatch2/volume-88.nii,TrainingBatch2/segmentation-88.nii
89,TrainingBatch2/volume-89.nii,TrainingBatch2/segmentation-89.nii
90,TrainingBatch2/volume-90.nii,TrainingBatch2/segmentation-90.nii
91,TrainingBatch2/volume-91.nii,TrainingBatch2/segmentation-91.nii
92,TrainingBatch2/volume-92.nii,TrainingBatch2/segmentation-92.nii
93,TrainingBatch2/volume-93.nii,TrainingBatch2/segmentation-93.nii
94,TrainingBatch2/volume-94.nii,TrainingBatch2/segmentation-94.nii
95,TrainingBatch2/volume-95.nii,TrainingBatch2/segmentation-95.nii
96,TrainingBatch2/volume-96.nii,TrainingBatch2/segmentation-96.nii
97,TrainingBatch2/volume-97.nii,TrainingBatch2/segmentation-97.nii
98,TrainingBatch2/volume-98.nii,TrainingBatch2/segmentation-98.nii
99,TrainingBatch2/volume-99.nii,TrainingBatch2/segmentation-99.nii
100,TrainingBatch2/volume-100.nii,TrainingBatch2/segmentation-100.nii
101,TrainingBatch2/volume-101.nii,TrainingBatch2/segmentation-101.nii
102,TrainingBatch2/volume-102.nii,TrainingBatch2/segmentation-102.nii
103,TrainingBatch2/volume-103.nii,TrainingBatch2/segmentation-103.nii
104,TrainingBatch2/volume-104.nii,TrainingBatch2/segmentation-104.nii
105,TrainingBatch2/volume-105.nii,TrainingBatch2/segmentation-105.nii
106,TrainingBatch2/volume-106.nii,TrainingBatch2/segmentation-106.nii
107,TrainingBatch2/volume-107.nii,TrainingBatch2/segmentation-107.nii
108,TrainingBatch2/volume-108.nii,TrainingBatch2/segmentation-108.nii
109,TrainingBatch2/volume-109.nii,TrainingBatch2/segmentation-109.nii
110,TrainingBatch2/volume-110.nii,TrainingBatch2/segmentation-110.nii
111,TrainingBatch2/volume-111.nii,TrainingBatch2/segmentation-111.nii
112,TrainingBatch2/volume-112.nii,TrainingBatch2/segmentation-112.nii
113,TrainingBatch2/volume-113.nii,TrainingBatch2/segmentation-113.nii
114,TrainingBatch2/volume-114.nii,TrainingBatch2/segmentation-114.nii
115,TrainingBatch2/volume-115.nii,TrainingBatch2/segmentation-115.nii
116,TrainingBatch2/volume-116.nii,TrainingBatch2/segmentation-116.nii
117,TrainingBatch2/volume-117.nii,TrainingBatch2/segmentation-117.nii
118,TrainingBatch2/volume-118.nii,TrainingBatch2/segmentation-118.nii
119,TrainingBatch2/volume-119.nii,TrainingBatch2/segmentation-119.nii
120,TrainingBatch2/volume-120.nii,TrainingBatch2/segmentation-120.nii
121,TrainingBatch2/volume-121.nii,TrainingBatch2/segmentation-121.nii
122,TrainingBatch2/volume-122.nii,TrainingBatch2/segmentation-122.nii
123,TrainingBatch2/volume-123.nii,TrainingBatch2/segmentation-123.nii
124,TrainingBatch2/volume-124.nii,TrainingBatch2/segmentation-124.nii
125,TrainingBatch2/volume-125.nii,TrainingBatch2/segmentation-125.nii
126,TrainingBatch2/volume-126.nii,TrainingBatch2/segmentation-126.nii
127,TrainingBatch2/volume-127.nii,TrainingBatch2/segmentation-127.nii
128,TrainingBatch2/volume-128.nii,TrainingBatch2/segmentation-128.nii
129,TrainingBatch2/volume-129.nii,TrainingBatch2/segmentation-129.nii
130,TrainingBatch2/volume-130.nii,TrainingBatch2/segmentation-130.nii
